ticker,exchange_country,company_name,price,exchange_rate,shares_outstanding,net_income
1,HK,CK HUTCHISON HOLDINGS LTD,1.404816984,7.757949829,3859.677979,31633
2,HK,CLP HOLDINGS LTD,1.312602194,7.757949829,2526.450928,16319
3,HK,HONG KONG & CHINA GAS CO LTD,0.234939214,7.757949829,12717.04199,7546.200195
11,HK,HANG SENG BANK LTD,2.198193203,7.757949829,1911.843018,15451
16,HK,SUN HUNG KAI PROPERTIES LTD,1.546072011,7.757949829,2895,32666
66,HK,MTR CORP LTD,0.651215566,7.757949829,5881.209961,9926
267,HK,CITIC LTD,0.187419658,7.757949829,29090.26367,25339
386,HK,CHINA PETROLEUM & CHEMICAL CORP,0.10730991,6.643599987,121071.2109,26963
388,HK,HONG KONG EXCHANGES AND CLEARING LTD,3.125212641,7.757949829,1214.206055,6846
688,HK,CHINA OVERSEAS LAND & INVESTMENT LTD,0.407072869,7.757949829,9860.581055,36680.375
700,HK,TENCENT HOLDINGS LTD,3.416303948,6.643599987,9408.830078,34529
728,HK,CHINA TELECOM CORP LTD,0.067131696,6.643599987,80932,20747
762,HK,CHINA UNICOM HONG KONG LTD,0.155605677,6.643599987,23947,5001
883,HK,CNOOC LTD,0.18664855,6.643599987,44647.45703,-2222
939,HK,CHINA CONSTRUCTION BANK CORP,0.099657138,6.643599987,250010.9844,229660
941,HK,CHINA MOBILE LTD,1.71999953,6.643599987,20475.48242,111846
1038,HK,CHEUNG KONG INFRASTRUCTURE HOLDINGS LTD,1.165883254,7.757949829,2519.611084,11420
1088,HK,CHINA SHENHUA ENERGY CO LTD,0.311614748,6.643599987,19889.61914,15408
1113,HK,CHEUNG KONG PROPERTY HOLDINGS LTD,0.804176616,7.757949829,3845.498047,18829
1299,HK,AIA GROUP LTD,5.974739216,1,12049,2576
1928,HK,SANDS CHINA LTD,3.344875377,1,8070.133789,1275.524048
2202,HK,CHINA VANKE CO LTD,0.531585666,6.643599987,11039.15234,18624.4375
2317,TW,HON HAI PRECISION INDUSTRY CO LTD,0.072078594,32.25899887,17200.26367,136053.6563
2328,HK,PICC PROPERTY & CASUALTY CO LTD,0.235161988,6.643599987,14828,18073
2330,TW,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0.162621275,32.25899887,25930.38086,285454.2188
2388,HK,BOC HONG KONG HOLDINGS LTD,0.385473089,7.757949829,10572.78027,56140
2412,TW,CHUNGHWA TELECOM CO LTD,0.111950012,32.25899887,7757.446777,43982.80859
2628,HK,CHINA LIFE INSURANCE CO LTD,0.432456762,6.643599987,28264.70508,13605
2914,JP,JAPAN TOBACCO INC,0.435364286,102.5899963,1790.889038,521319
3328,HK,BANK OF COMMUNICATIONS CO LTD,0.112157101,6.643599987,74262.72656,66865
3382,JP,SEVEN & I HOLDINGS CO LTD,0.407800509,102.5899963,884.1740112,161852
3988,HK,BANK OF CHINA LTD,0.0691072,6.643599987,294378.0625,173136
4063,JP,SHIN-ETSU CHEMICAL CO LTD,0.57462531,102.5899963,425.9790039,156519
4452,JP,KAO CORP,0.565945095,102.5899963,501.6809998,
4502,JP,TAKEDA PHARMACEUTICAL CO LTD,0.425349995,102.5899963,781.0289917,155109
4503,JP,ASTELLAS PHARMA INC,0.154113186,102.5899963,2124.61499,215678
4528,JP,ONO PHARMACEUTICAL CO LTD,0.468152999,102.5899963,530.0200195,29206
4578,JP,OTSUKA HOLDINGS CO LTD,0.461602311,102.5899963,541.848999,61334
4661,JP,ORIENTAL LAND CO LTD/JAPAN,0.69096669,102.5899963,331.2720032,74687
4689,JP,YAHOO JAPAN CORP,0.042967344,102.5899963,5692.606934,173745
5108,JP,BRIDGESTONE CORP,0.322445524,102.5899963,783.2379761,262997
5387,KR,HYUNDAI MOTOR CO,0.108650559,1151.849976,207.0540009,6150676
5935,KR,SAMSUNG ELECTRONICS CO LTD,1.238761984,1151.849976,123.9589996,19638256
